,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T19:47:37.894728107Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T20:47:39.061467749Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T20:47:39.084543621Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T21:47:38.727627348Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T21:47:38.750881671Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T22:47:38.887599581Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T22:47:38.912410914Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:06.746782216Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:06.769157999Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:04:07.196361069Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:04:07.223698568Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T01:04:08.36228919Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T01:04:08.392603408Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T02:04:08.702764085Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T02:04:08.724115294Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:04:09.510187433Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:04:09.536398923Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T04:04:13.994022283Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T04:04:14.020436721Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T05:04:15.173274895Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T05:04:15.198615994Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T07:04:18.140467112Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T07:04:18.159452266Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T08:04:19.411319206Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T08:04:19.433248382Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T09:04:19.563492329Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T09:04:19.585078598Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T10:04:19.901814507Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T10:04:19.924226809Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T11:04:20.578779922Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T11:04:20.598040033Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T12:04:21.633028857Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T12:04:21.665390027Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T13:04:22.101608594Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T13:04:22.124539265Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:04:23.103026329Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:04:23.128435936Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:04:23.441932465Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:04:23.463083599Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:04:24.293419066Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:04:24.314785955Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T19:47:37.87200781Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T19:47:37.894728107Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T20:47:39.061467749Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T20:47:39.084543621Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T21:47:38.727627348Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T21:47:38.750881671Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T22:47:38.887599581Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T22:47:38.912410914Z,1540,hs_resp_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:07.150250256Z,739,hs_latency_ms,telemetry_handshake,1.1.0-SR-ASCON128,Kyber768,DCB4D90B5258
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:07.180944509Z,739,hs_latency_ms,telemetry_handshake,1.1.0-SR-ASCON128,Kyber768,DCB4D90B5258
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:04:07.845752103Z,753,hs_latency_ms,telemetry_handshake,1.1.0-SR-ASCON128,Kyber768,DCB4D90B5258
