,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node,phase
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T06:01:22.131095403Z,3458,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T07:01:23.228051272Z,683,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T08:01:24.570442677Z,807,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T09:01:25.396519692Z,885,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T10:01:26.904659505Z,1078,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T11:01:28.016267887Z,827,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T12:01:29.128062897Z,792,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T13:01:30.118142516Z,651,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:01:31.551272909Z,1098,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:01:32.678982814Z,840,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:01:35.861484351Z,536,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:01:36.55482012Z,526,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T18:01:37.146259655Z,507,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T19:01:37.813206292Z,1174,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T20:01:38.562925643Z,984,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T21:01:39.075274367Z,710,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T22:01:40.236953123Z,790,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T23:01:41.239522217Z,670,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
