time,node,metric,value
2026-07-20T23:22:49.194379322Z,CC8DA20CDB50,humidity,59.8
2026-07-20T23:22:54.185106206Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:22:54.21176435Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:22:59.180620495Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:22:59.25049037Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:23:04.195525027Z,CC8DA20CDB50,humidity,59.8
2026-07-20T23:23:04.224955296Z,CC8DA20CDB50,humidity,59.8
2026-07-20T23:23:09.189127755Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:23:09.206897622Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:23:14.184332601Z,CC8DA20CDB50,humidity,62.4
2026-07-20T23:23:14.204608153Z,CC8DA20CDB50,humidity,62.4
2026-07-20T23:23:19.190905716Z,CC8DA20CDB50,humidity,57.7
2026-07-20T23:23:19.210060007Z,CC8DA20CDB50,humidity,57.7
2026-07-20T23:23:24.192786134Z,CC8DA20CDB50,humidity,57.2
2026-07-20T23:23:24.222967762Z,CC8DA20CDB50,humidity,57.2
2026-07-20T23:23:29.184765782Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:23:29.208883556Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:23:34.183508824Z,CC8DA20CDB50,humidity,59.2
2026-07-20T23:23:34.203350901Z,CC8DA20CDB50,humidity,59.2
2026-07-20T23:23:39.177152266Z,CC8DA20CDB50,humidity,60.8
2026-07-20T23:23:39.194661045Z,CC8DA20CDB50,humidity,60.8
2026-07-20T23:23:44.19737229Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:23:44.219430501Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:23:49.183668843Z,CC8DA20CDB50,humidity,62.4
2026-07-20T23:23:49.203991469Z,CC8DA20CDB50,humidity,62.4
2026-07-20T23:23:54.198963498Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:23:54.224388252Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:23:59.191996824Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:23:59.220359499Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:24:04.187109316Z,CC8DA20CDB50,humidity,62.6
2026-07-20T23:24:04.205334602Z,CC8DA20CDB50,humidity,62.6
2026-07-20T23:24:09.18776718Z,CC8DA20CDB50,humidity,57.2
2026-07-20T23:24:09.205379735Z,CC8DA20CDB50,humidity,57.2
2026-07-20T23:24:14.189571111Z,CC8DA20CDB50,humidity,62.3
2026-07-20T23:24:14.21056058Z,CC8DA20CDB50,humidity,62.3
2026-07-20T23:24:19.199095198Z,CC8DA20CDB50,humidity,60.4
2026-07-20T23:24:19.223294434Z,CC8DA20CDB50,humidity,60.4
2026-07-20T23:24:24.194066954Z,CC8DA20CDB50,humidity,57.1
2026-07-20T23:24:24.215407788Z,CC8DA20CDB50,humidity,57.1
2026-07-20T23:24:29.425941729Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:24:29.455958713Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:24:34.340124899Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:24:34.365545969Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:24:39.338915016Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:24:39.383272752Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:24:44.34055349Z,CC8DA20CDB50,humidity,59.1
2026-07-20T23:24:44.364175272Z,CC8DA20CDB50,humidity,59.1
2026-07-20T23:24:49.353004574Z,CC8DA20CDB50,humidity,59.0
2026-07-20T23:24:49.376210862Z,CC8DA20CDB50,humidity,59.0
2026-07-20T23:24:54.341923347Z,CC8DA20CDB50,humidity,60.6
2026-07-20T23:24:54.359226666Z,CC8DA20CDB50,humidity,60.6
2026-07-20T23:24:59.338241482Z,CC8DA20CDB50,humidity,59.2
2026-07-20T23:24:59.357106834Z,CC8DA20CDB50,humidity,59.2
2026-07-20T23:25:04.551651118Z,CC8DA20CDB50,humidity,61.3
2026-07-20T23:25:04.580392713Z,CC8DA20CDB50,humidity,61.3
2026-07-20T23:25:09.343254136Z,CC8DA20CDB50,humidity,60.8
2026-07-20T23:25:09.366279131Z,CC8DA20CDB50,humidity,60.8
2026-07-20T23:25:14.344912276Z,CC8DA20CDB50,humidity,61.6
2026-07-20T23:25:14.376587644Z,CC8DA20CDB50,humidity,61.6
